Spectrum ID, Protein, #peaks, #multi-peaks, Charge, Delta mass, # matched peaks 
controllerType=0 controllerNumber=1 scan=1027, sp|P45577|PROQ_ECOLI_126_147|truncated, 44, 25, 1, -1.00903, 2
controllerType=0 controllerNumber=1 scan=1034, sp|P45577|PROQ_ECOLI_123_147|truncated, 47, 4, 1, -1.01001, 2
controllerType=0 controllerNumber=1 scan=1045, sp|P68191|SRA_ECOLI_19_45|truncated, 32, 9, 1, -57.0056, 2
controllerType=0 controllerNumber=1 scan=1045, sp|P68191|SRA_ECOLI_20_45|truncated, 32, 9, 1, 57.0374, 2
controllerType=0 controllerNumber=1 scan=1054, sp|P36560|ASR_ECOLI_22_46|truncated, 45, 28, 1, -1.00635, 7
controllerType=0 controllerNumber=1 scan=1055, sp|P36560|ASR_ECOLI_22_46|truncated, 46, 15, 1, -1.00635, 6
controllerType=0 controllerNumber=1 scan=1064, sp|P69428|TATA_ECOLI_62_89|truncated, 105, 282, 1, -129.102, 11
controllerType=0 controllerNumber=1 scan=1064, sp|P69428|TATA_ECOLI_63_89|truncated, 105, 282, 1, -1.00684, 11
controllerType=0 controllerNumber=1 scan=1064, sp|P69428|TATA_ECOLI_36_89|truncated, 105, 282, 2, 85.0298, 11
controllerType=0 controllerNumber=1 scan=1064, sp|P62399|RL5_ECOLI_15_71|truncated, 105, 282, 2, 7.68652, 2
controllerType=0 controllerNumber=1 scan=1064, sp|P62399|RL5_ECOLI_43_71|truncated, 105, 282, 1, 119.787, 2
controllerType=0 controllerNumber=1 scan=1064, sp|P0ADV1|LPTA_ECOLI_159_185|truncated, 105, 282, 1, 146.885, 2
controllerType=0 controllerNumber=1 scan=1066, sp|P69428|TATA_ECOLI_62_89|truncated, 78, 67, 1, -129.101, 5
controllerType=0 controllerNumber=1 scan=1066, sp|P69428|TATA_ECOLI_63_89|truncated, 78, 67, 1, -1.00562, 5
controllerType=0 controllerNumber=1 scan=1066, sp|P69428|TATA_ECOLI_36_89|truncated, 78, 67, 2, 85.0322, 5
controllerType=0 controllerNumber=1 scan=1075, sp|P02359|RS7_ECOLI_124_149|truncated, 35, 19, 1, -1.00439, 6
